"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Parvesh\Study\Prep\Web Dev\YTBE\be_project\src\controllers\user.controller.js", "JavaScript", 434, 31, 98, 563
"Total", "-", 434, 31, 98, 563
